id;name;capitalCity;coords
SVK;Slovak Republic;Bratislava;"('48.1484', '17.1073')"
SVN;Slovenia;Ljubljana;"('46.0546', '14.5044')"
SWE;Sweden;Stockholm;"('59.3327', '18.0645')"
SWZ;Eswatini;Mbabane;"('-26.5225', '31.4659')"
SYC;Seychelles;Victoria;"('-4.6309', '55.4466')"
SYR;Syrian Arab Republic;Damascus;"('33.5146', '36.3119')"
TCA;Turks and Caicos Islands;Grand Turk;"('21.4602778', '-71.141389')"
TCD;Chad;N'Djamena;"('12.1048', '15.0445')"
TGO;Togo;Lome;"('6.1228', '1.2255')"
THA;Thailand;Bangkok;"('13.7308', '100.521')"
TJK;Tajikistan;Dushanbe;"('38.5878', '68.7864')"
TKM;Turkmenistan;Ashgabat;"('37.9509', '58.3794')"
TLS;Timor-Leste;Dili;"('-8.56667', '125.567')"
TON;Tonga;Nuku'alofa;"('-21.136', '-175.216')"
TTO;Trinidad and Tobago;Port-of-Spain;"('10.6596', '-61.4789')"
TUN;Tunisia;Tunis;"('36.7899', '10.21')"
TUR;Turkiye;Ankara;"('39.7153', '32.3606')"
TUV;Tuvalu;Funafuti;"('-8.6314877', '179.089567')"
TZA;Tanzania;Dodoma;"('-6.17486', '35.7382')"
UGA;Uganda;Kampala;"('0.314269', '32.5729')"
UKR;Ukraine;Kiev;"('50.4536', '30.5038')"
URY;Uruguay;Montevideo;"('-34.8941', '-56.0675')"
USA;United States;Washington D.C.;"('38.8895', '-77.032')"
UZB;Uzbekistan;Tashkent;"('41.3052', '69.269')"
VCT;St. Vincent and the Grenadines;Kingstown;"('13.2035', '-61.2653')"
VEN;"Venezuela, RB";Caracas;"('9.08165', '-69.8371')"
VGB;British Virgin Islands;Road Town;"('18.431389', '-64.623056')"
VIR;Virgin Islands (U.S.);Charlotte Amalie;"('18.3358', '-64.8963')"
VNM;Viet Nam;Hanoi;"('21.0069', '105.825')"
VUT;Vanuatu;Port-Vila;"('-17.7404', '168.321')"
WSM;Samoa;Apia;"('-13.8314', '-171.752')"
XKX;Kosovo;Pristina;"('42.565', '20.926')"
YEM;"Yemen, Rep.";Sana'a;"('15.352', '44.2075')"
ZAF;South Africa;Pretoria;"('-25.746', '28.1871')"
ZMB;Zambia;Lusaka;"('-15.3982', '28.2937')"
ZWE;Zimbabwe;Harare;"('-17.8312', '31.0672')"
